Location,Hotel,Price
"Brooklyn, New York, United States of America",42 Hotel,$471
"Brooklyn, New York, United States of America",Tru By Hilton Brooklyn,$291
"Brooklyn, New York, United States of America",Penny Williamsburg,$377
"Brooklyn, New York, United States of America",Ace Hotel Brooklyn,$539
"Brooklyn, New York, United States of America",N/A,N/A
"Brooklyn, New York, United States of America",Hotel Mirage Brooklyn ,$199
"Brooklyn, New York, United States of America",The William Vale,$771
"Brooklyn, New York, United States of America",Arlo Williamsburg,$473
"Brooklyn, New York, United States of America",Super 8 by Wyndham Brooklyn Fulton Street/Broadway Junction,$118
"Brooklyn, New York, United States of America",The Lodge Red Hook,$220
"Brooklyn, New York, United States of America",The Box House Hotel,$369
"Brooklyn, New York, United States of America",The L Hotel,$215
"Brooklyn, New York, United States of America",N/A,N/A
"Brooklyn, New York, United States of America",1 Hotel Brooklyn Bridge,$743
"Brooklyn, New York, United States of America",Henry Norman Hotel,$441
"Brooklyn, New York, United States of America",The Hoxton Williamsburg,$529
"Brooklyn, New York, United States of America",N/A,N/A
"Brooklyn, New York, United States of America",Pod Brooklyn,$328
"Brooklyn, New York, United States of America",Hampton Inn Brooklyn/Downtown,$385
"Brooklyn, New York, United States of America",Fairfield Inn & Suites by Marriott New York Brooklyn,$394
"Brooklyn, New York, United States of America",Hampton Inn Brooklyn/Downtown,$385
"Brooklyn, New York, United States of America","Holiday Inn Brooklyn Downtown, an IHG Hotel",$382
"Brooklyn, New York, United States of America",CODA Williamsburg,$508
"Brooklyn, New York, United States of America",The Tillary Hotel,$474
"Brooklyn, New York, United States of America",The William Vale,$771
"Brooklyn, New York, United States of America","Hotel Indigo Williamsburg - Brooklyn, an IHG Hotel",$372
"Brooklyn, New York, United States of America",Arlo Williamsburg,$473
"Brooklyn, New York, United States of America",Hotel Le Bleu,$334
"Brooklyn, New York, United States of America","EVEN Hotel Brooklyn, an IHG Hotel",$364
"Brooklyn, New York, United States of America",Franklin Guesthouse,$484
"Brooklyn, New York, United States of America",Sonder The Industrialist,$257
"Brooklyn, New York, United States of America",The Baltic Hotel,$256
"Brooklyn, New York, United States of America",42 Hotel,$471
"Brooklyn, New York, United States of America",N/A,N/A
"Brooklyn, New York, United States of America","Insignia Hotel Brooklyn, Ascend Hotel Collection",$238
"Brooklyn, New York, United States of America","Holiday Inn Brooklyn Downtown, an IHG Hotel",$382
"Brooklyn, New York, United States of America",Tru By Hilton Brooklyn,$291
"Brooklyn, New York, United States of America",Sonder The Industrialist,$257
"Brooklyn, New York, United States of America",Pointe Plaza Hotel,$221
"Brooklyn, New York, United States of America",Sheraton Brooklyn New York Hotel,$373
"Brooklyn, New York, United States of America",NU Hotel Brooklyn,$459
"Brooklyn, New York, United States of America",The Baltic Hotel,$256
"Brooklyn, New York, United States of America",La Quinta Inn & Suites by Wyndham Brooklyn Downtown,$219
"Brooklyn, New York, United States of America",Comfort Inn Prospect Park - Brooklyn,$344
"Brooklyn, New York, United States of America",Best Western Brooklyn-Coney Island Inn,$226
"Brooklyn, New York, United States of America",Wyndham Garden Brooklyn Sunset Park,$284
"Brooklyn, New York, United States of America",TownePlace Suites by Marriott New York Brooklyn,$446
"Brooklyn, New York, United States of America",Quality Inn near Sunset Park,$159
"Brooklyn, New York, United States of America",Aloft New York Brooklyn,$399
"Brooklyn, New York, United States of America",Hilton Brooklyn New York,$527
"Brooklyn, New York, United States of America",Moon Hotel Brooklyn,$169
"Brooklyn, New York, United States of America",Knights Inn Brooklyn Sunset Park,$142
"Brooklyn, New York, United States of America",King Hotel Brooklyn Sunset Park,$237
"Brooklyn, New York, United States of America","Holiday Inn Express NYC Brooklyn - Sunset Park, an IHG Hotel",$260
"Brooklyn, New York, United States of America",Casa Blanca Hotel Brooklyn,$184
"Brooklyn, New York, United States of America","avid hotel Brooklyn Dyker Heights, an IHG Hotel",$233
"Brooklyn, New York, United States of America",Days Inn by Wyndham Brooklyn Marine Park,$178
"Brooklyn, New York, United States of America",Moxy Brooklyn Willamsburg,$529
"Brooklyn, New York, United States of America",New York Marriott at the Brooklyn Bridge,$819
"Brooklyn, New York, United States of America",Rockaway Hotel Brooklyn,$151
"Brooklyn, New York, United States of America",Phoenix Hotel,$139
"Brooklyn, New York, United States of America",Hotel Bliss,$150
