Location,Hotel,Price
"Brooklyn, New York, United States of America",Umbrella Hotel Brooklyn,$164
"Brooklyn, New York, United States of America",Best Western Gregory Hotel,$271
"Brooklyn, New York, United States of America",The Vue Hotel Express,$193
"Brooklyn, New York, United States of America",Best Western Plus Brooklyn Bay Hotel,$329
"Brooklyn, New York, United States of America",Essence Hotel,$199
"Brooklyn, New York, United States of America",Hotel 369 Brooklyn,$210
"Brooklyn, New York, United States of America",The Brooklyn,$178
"Brooklyn, New York, United States of America",NY Moore Hostel,$104
"Brooklyn, New York, United States of America",Madison LES Hotel,$377
"Brooklyn, New York, United States of America","Holiday Inn NYC - Lower East Side, an IHG Hotel",$481
"Brooklyn, New York, United States of America",Nine Orchard,$779
"Brooklyn, New York, United States of America",Hotel Richland LES,$621
"Brooklyn, New York, United States of America","33 Hotel, New York City, Seaport",$631
"Brooklyn, New York, United States of America",Canal Loft Hotel,$174
"Brooklyn, New York, United States of America",The Historic Blue Moon Hotel - NYC,$624
"Brooklyn, New York, United States of America",The Allen Hotel,$550
"Brooklyn, New York, United States of America",Hotel On Rivington,$669
"Brooklyn, New York, United States of America",Redford Hotel,$440
"Brooklyn, New York, United States of America",Fairfield Inn New York Manhattan/Financial District,$441
"Brooklyn, New York, United States of America",Leon Hotel LES,$527
"Brooklyn, New York, United States of America",Eurostars Wall Street,$405
"Brooklyn, New York, United States of America","Hotel Indigo Lower East Side New York, an IHG Hotel",$596
"Brooklyn, New York, United States of America",The Ludlow Hotel,$734
"Brooklyn, New York, United States of America",Orchard Street Hotel,$386
"Brooklyn, New York, United States of America","Hotel 50 Bowery, part of JdV by Hyatt",$512
"Brooklyn, New York, United States of America","Holiday Inn Express New York City- Wall Street, an IHG Hotel",$431
"Brooklyn, New York, United States of America",Wyndham Garden Chinatown,$434
"Brooklyn, New York, United States of America",Hyatt Centric Wall Street New York,$465
"Brooklyn, New York, United States of America","Hotel Indigo - NYC Downtown - Wall Street, an IHG Hotel",$536
"Brooklyn, New York, United States of America",The Wall Street Hotel,$903
"Brooklyn, New York, United States of America",Sonder at One Platt,$469
"Brooklyn, New York, United States of America",Courtyard by Marriott New York Downtown Manhattan/Financial District,$474
"Brooklyn, New York, United States of America",Residence Inn by Marriott New York Downtown Manhattan/Financial District,$475
"Brooklyn, New York, United States of America",Four Points By Sheraton New York Downtown,$424
"Brooklyn, New York, United States of America",SIXTY Lower East Side,$560
"Brooklyn, New York, United States of America",Moxy NYC Lower East Side,$617
"Brooklyn, New York, United States of America","Holiday Inn Express Maspeth, an IHG Hotel",$291
"Brooklyn, New York, United States of America",The Sohotel,$461
"Brooklyn, New York, United States of America",Casa Cipriani New York,"$1,638"
"Brooklyn, New York, United States of America",citizenM New York Bowery,$600
"Brooklyn, New York, United States of America",The Wall Street Inn,$610
"Brooklyn, New York, United States of America",The Gatsby Hotel,$382
