Location,Hotel,Price
"Palm Desert, California, United States of America",Marriott's Shadow Ridge,$304 per night
"Palm Desert, California, United States of America","Hotel Paseo, Autograph Collection by Marriott",$411 per night
"Palm Desert, California, United States of America",Inn at Deep Canyon,$242 per night
"Palm Desert, California, United States of America",Comfort Suites Palm Desert I-10,$216 per night
"Palm Desert, California, United States of America",N/A,N/A
"Palm Desert, California, United States of America",Holiday Inn Express & Suites Palm Desert -  Millennium,$228 per night
"Palm Desert, California, United States of America",Embassy Suites by Hilton Palm Desert,$160 per night
"Palm Desert, California, United States of America",Marriott's Desert Springs Villas I,$349 per night
"Palm Desert, California, United States of America","Holiday Inn Express Palm-Desert, an IHG Hotel",$184 per night
"Palm Desert, California, United States of America",Shadow Mountain Resort,$241 per night
"Palm Desert, California, United States of America",Mojave Resort,$249 per night
"Palm Desert, California, United States of America",Desert Breezes Resort,$226 per night
"Palm Desert, California, United States of America",N/A,N/A
"Palm Desert, California, United States of America",The Villas at Emerald Desert RV Resort,$164 per night
"Palm Desert, California, United States of America",Homewood Suites by Hilton Palm Desert,$232 per night
"Palm Desert, California, United States of America",Best Western Plus Palm Desert Resort,$216 per night
"Palm Desert, California, United States of America",N/A,N/A
"Palm Desert, California, United States of America",Residence Inn By Marriott Palm Desert,$216 per night
"Palm Desert, California, United States of America",Hampton Inn & Suites Palm Desert,$205 per night
"Palm Desert, California, United States of America","Hotel Paseo, Autograph Collection by Marriott",$411 per night
"Palm Desert, California, United States of America",Marriott's Shadow Ridge II- The Enclaves,$304 per night
"Palm Desert, California, United States of America","Holiday Inn Express Palm-Desert, an IHG Hotel",$184 per night
"Palm Desert, California, United States of America",Embassy Suites by Hilton Palm Desert,$160 per night
"Palm Desert, California, United States of America",Marriott's Desert Springs Villas II,$329 per night
"Palm Desert, California, United States of America",SpringHill Suites by Marriott Palm Desert,$224 per night
"Palm Desert, California, United States of America",JW Marriott Desert Springs Resort & Spa,$485 per night
"Palm Desert, California, United States of America",Palms at El Camino,$120 per night
"Palm Desert, California, United States of America",Courtyard by Marriott Palm Desert,$239 per night
"Palm Desert, California, United States of America",Palm Desert Sanctuary w/ Golf Course Views!,$232 per night
"Palm Desert, California, United States of America",Palm Desert Condo w/ Golf Course & Pool Access!,$409 per night
"Palm Desert, California, United States of America",Courtyard by Marriott Palm Desert,$239 per night
"Palm Desert, California, United States of America",Holiday Inn Express & Suites Palm Desert -  Millennium,$228 per night
"Palm Desert, California, United States of America","Motel 6 Palm Desert, CA - Palm Springs Area",$123 per night
"Palm Desert, California, United States of America",N/A,N/A
