Location,Hotel,Price
"Palm Desert, California, United States of America",Marriott's Shadow Ridge,$329 per night
"Palm Desert, California, United States of America","Hotel Paseo, Autograph Collection by Marriott",$455 per night
"Palm Desert, California, United States of America",Embassy Suites by Hilton Palm Desert,$176 per night
"Palm Desert, California, United States of America",Shadow Mountain Resort,$276 per night
"Palm Desert, California, United States of America",N/A,N/A
"Palm Desert, California, United States of America",Holiday Inn Express & Suites Palm Desert -  Millennium,$254 per night
"Palm Desert, California, United States of America",Comfort Suites Palm Desert I-10,$238 per night
"Palm Desert, California, United States of America",Marriott's Desert Springs Villas I,$349 per night
"Palm Desert, California, United States of America","Holiday Inn Express Palm-Desert, an IHG Hotel",$208 per night
"Palm Desert, California, United States of America",Mojave Resort,$267 per night
"Palm Desert, California, United States of America",The Villas at Emerald Desert RV Resort,$164 per night
"Palm Desert, California, United States of America",Best Western Plus Palm Desert Resort,$224 per night
"Palm Desert, California, United States of America",N/A,N/A
"Palm Desert, California, United States of America",Homewood Suites by Hilton Palm Desert,$253 per night
"Palm Desert, California, United States of America",Residence Inn By Marriott Palm Desert,$230 per night
"Palm Desert, California, United States of America",Hampton Inn & Suites Palm Desert,$212 per night
"Palm Desert, California, United States of America",N/A,N/A
"Palm Desert, California, United States of America",Embassy Suites by Hilton Palm Desert,$176 per night
"Palm Desert, California, United States of America","Hotel Paseo, Autograph Collection by Marriott",$455 per night
"Palm Desert, California, United States of America",SpringHill Suites by Marriott Palm Desert,$260 per night
"Palm Desert, California, United States of America",Marriott's Shadow Ridge II- The Enclaves,$329 per night
"Palm Desert, California, United States of America","Holiday Inn Express Palm-Desert, an IHG Hotel",$208 per night
"Palm Desert, California, United States of America",JW Marriott Desert Springs Resort & Spa,$566 per night
"Palm Desert, California, United States of America",Desert Breezes Resort,$271 per night
"Palm Desert, California, United States of America",Courtyard by Marriott Palm Desert,$274 per night
"Palm Desert, California, United States of America",Marriott's Shadow Ridge,$329 per night
"Palm Desert, California, United States of America",Palm Desert Sanctuary w/ Golf Course Views!,$232 per night
"Palm Desert, California, United States of America",Inn at Deep Canyon,$201 per night
"Palm Desert, California, United States of America","Motel 6 Palm Desert, CA - Palm Springs Area",$141 per night
"Palm Desert, California, United States of America",Courtyard by Marriott Palm Desert,$274 per night
"Palm Desert, California, United States of America",Holiday Inn Express & Suites Palm Desert -  Millennium,$254 per night
"Palm Desert, California, United States of America",Fairfield by Marriott Inn & Suites Palm Desert Coachella Valley,$279 per night
"Palm Desert, California, United States of America",Palm Desert Condo w/ Golf Course & Pool Access!,$427 per night
"Palm Desert, California, United States of America",N/A,N/A
"Palm Desert, California, United States of America",Marriott's Shadow Ridge II- The Enclaves,$329 per night
"Palm Desert, California, United States of America",Chic Palm Desert Condo w/ Resort-style Amenities!,$296 per night
"Palm Desert, California, United States of America",Newly Renovated Palm Desert Condo: Community Pool!,$338 per night
"Palm Desert, California, United States of America",Palm Desert Country Club Home w/ Patio and Grill!,$284 per night
"Palm Desert, California, United States of America",Palm Desert Rental w/ Community Pool & Hot Tub!,$272 per night
"Palm Desert, California, United States of America",Palm Springs RV Resort,$232 per night
"Palm Desert, California, United States of America",Palm Desert Condo w/ Patio & Golf Course Views,$379 per night
"Palm Desert, California, United States of America",Palm Desert Condo: Golf Course View & Pool Access,$645 per night
"Palm Desert, California, United States of America",Beautiful Palm Desert Townhome w/ Community Pool!,$278 per night
"Palm Desert, California, United States of America",Omni Rancho Las Palmas Resort & Spa,$387 per night
"Palm Desert, California, United States of America","Holiday Inn Express & Suites Rancho Mirage - Palm Spgs Area, an IHG Hotel",$215 per night
"Palm Desert, California, United States of America",Hilton Garden Inn Palm Springs - Rancho Mirage,$223 per night
"Palm Desert, California, United States of America",Tommy Bahama Miramonte Resort & Spa,$351 per night
"Palm Desert, California, United States of America",Indian Wells Resort Hotel,$134 per night
"Palm Desert, California, United States of America","Renaissance Esmeralda Resort & Spa, Indian Wells",$370 per night
"Palm Desert, California, United States of America","Indian Wells Retreat w/ Pool, Near Tennis Garden",$460 per night
"Palm Desert, California, United States of America",Lux 1bd Near Clubhouse W/ All Amenities 1 Bedroom Condo by RedAwning,$647 per night
"Palm Desert, California, United States of America",Homewood Suites by Hilton Palm Desert,$253 per night
"Palm Desert, California, United States of America",259250 3 BR La Quinta Mtn Resort Golf Course Home,$521 per night
"Palm Desert, California, United States of America",Classic 3 Bedrooms C44 by RedAwning,$926 per night
"Palm Desert, California, United States of America",Classic 3 Bedrooms C48 by RedAwning,$870 per night
"Palm Desert, California, United States of America","La Quinta Resort & Club, Curio Collection by Hilton",$518 per night
"Palm Desert, California, United States of America",Homewood Suites by Hilton La Quinta,$206 per night
"Palm Desert, California, United States of America","Palm Villa- Luxury 7 Bed, Pickleball, Volleyball, Golf","$3,810 per night"
"Palm Desert, California, United States of America",The Chateau at Lake La Quinta,$267 per night
"Palm Desert, California, United States of America","The Ritz-Carlton, Rancho Mirage","$1,149 per night"
"Palm Desert, California, United States of America","Motel 6 Rancho Mirage, CA - Palm Springs",$172 per night
"Palm Desert, California, United States of America",Embassy Suites La Quinta Hotel & Spa,$288 per night
"Palm Desert, California, United States of America",Marilyn by Avantstay Mins to Old Town La Qunita!,$496 per night
"Palm Desert, California, United States of America","Villa Verbena by Avantstay Expansive Estate w/ B-ball Court, Pool/spa & Entertainer's Yard","$3,861 per night"
"Palm Desert, California, United States of America","The Westin Mission Hills Resort Villas, Palm Springs",$349 per night
"Palm Desert, California, United States of America",The Westin Rancho Mirage Golf Resort & Spa,$379 per night
"Palm Desert, California, United States of America",Hampton Inn & Suites Cathedral City,$229 per night
"Palm Desert, California, United States of America",Residence Inn by Marriott La Quinta,$354 per night
"Palm Desert, California, United States of America","Edgy House Pool, Hot Tub, and Golf Course Views",$502 per night
