Location,Hotel,Price
"Palm Desert, California, United States of America","Quinta Green by Avantstay Modern Home w/ Pool, Spa & Golf Course!","$1,056 per night"
"Palm Desert, California, United States of America","Quinta Buyout by Avantstay 2 Modern Villas Pool, Hot Tub, Putting Green","$1,755 per night"
"Palm Desert, California, United States of America","Quinta Blue by Avantstay Pool & Puttin Green, on the Golf Course!",$515 per night
"Palm Desert, California, United States of America",Golfers paradise Pool Spa Epic Game room,$393 per night
"Palm Desert, California, United States of America",Rodeway Inn & Suites Thousand Palms - Rancho Mirage,$85 per night
"Palm Desert, California, United States of America","Spacious Indio Escape: Pool, Hot Tub & Fire Pit!",$528 per night
"Palm Desert, California, United States of America",Best Western Plus Desert View Inn & Suites,$199 per night
"Palm Desert, California, United States of America",Indio Escape by Avantstay Stunning Home in Coachella w/ Pool & Hot Tub,$651 per night
"Palm Desert, California, United States of America",Travelodge by Wyndham Indio,$97 per night
"Palm Desert, California, United States of America",Stunning Indio Getaway ~ 2 Mi to Coachella!,$302 per night
"Palm Desert, California, United States of America",Sol Springs Inn,$175 per night
"Palm Desert, California, United States of America",The Paloma Resort,$332 per night
"Palm Desert, California, United States of America",Luxury Resort Style Living w/ Pool & Jacuzzi,$609 per night
"Palm Desert, California, United States of America","Pura Vida: Waterslide, Mini Golf, and Games!","$1,729 per night"
"Palm Desert, California, United States of America",Scotty by Avantstay Walk to Empire Polo Club and Old Town La Quinta!,$482 per night
"Palm Desert, California, United States of America","5BR Resort Style Entertainer with Pool, Spa, BBQ",$997 per night
"Palm Desert, California, United States of America",Casa Serenity Luxury Living w/ Pool & Jacuzzi,$967 per night
"Palm Desert, California, United States of America",Luxurious Villa Living in Indio w/ Pool/Spa,"$1,223 per night"
"Palm Desert, California, United States of America",Super Mario Hideout Desert Dream,"$1,357 per night"
"Palm Desert, California, United States of America","Wilder Out West: Luxury Pickleball, Mini Golf, & Game Room!","$1,806 per night"
"Palm Desert, California, United States of America",The Date Palm Estate by Avantstay Luxurious Private Retreat!,"$3,012 per night"
"Palm Desert, California, United States of America","The Date Palm Estate by Avantstay Expansive Estate w/ Game Room, Backyard Oasis w/ Pool & Spa","$3,177 per night"
"Palm Desert, California, United States of America","Palisades by Avantstay Gorgeous Backyard w/ Pool, Spa & Games","$1,030 per night"
"Palm Desert, California, United States of America",Sunny Palms by Avantstay Near Empire Polo Club,$406 per night
"Palm Desert, California, United States of America","Empire State 7br, Golf, Waterslide, Gamerm","$1,773 per night"
"Palm Desert, California, United States of America","Wanderlust: Pool/spa, Waterslide, Firepit, Game Rm","$1,708 per night"
"Palm Desert, California, United States of America",WorldMark Palm Springs - Plaza Resort and Spa,$186 per night
"Palm Desert, California, United States of America",Eccentric Estate by Avantstay Empire Polo Views,$795 per night
"Palm Desert, California, United States of America",Best Western Date Tree Hotel,$215 per night
"Palm Desert, California, United States of America",Super 8 by Wyndham Indio,$105 per night
"Palm Desert, California, United States of America",Parker Palm Springs,$980 per night
"Palm Desert, California, United States of America","Moonshine by Avantstay Modern & Stylish Estate w/ Bar, Fire Pit & Hot Tub 5 bd","$1,377 per night"
"Palm Desert, California, United States of America",Days Inn by Wyndham Indio,$110 per night
"Palm Desert, California, United States of America",The Oasis Resort,$319 per night
"Palm Desert, California, United States of America","Motel 6 Indio, CA - Palm Springs",$81 per night
