Location,Hotel,Price
"Boston (and vicinity), Massachusetts, United States of America",Omni Boston Hotel at the Seaport,$215
"Boston (and vicinity), Massachusetts, United States of America",Oasis Guest House,$153
"Boston (and vicinity), Massachusetts, United States of America","InterContinental Boston, an IHG Hotel",$267
"Boston (and vicinity), Massachusetts, United States of America","Battery Wharf Hotel, Boston Waterfront",$210
"Boston (and vicinity), Massachusetts, United States of America",Copley House,$170
"Boston (and vicinity), Massachusetts, United States of America",N/A,N/A
"Boston (and vicinity), Massachusetts, United States of America",Hotel AKA Back Bay,$255
"Boston (and vicinity), Massachusetts, United States of America",Hyatt Place Boston/Seaport District,$189
"Boston (and vicinity), Massachusetts, United States of America",Newbury Guest House,$219
"Boston (and vicinity), Massachusetts, United States of America",The Boxer,$197
"Boston (and vicinity), Massachusetts, United States of America",The Revolution Hotel,$144
"Boston (and vicinity), Massachusetts, United States of America",AC Hotel by Marriott Boston Downtown,$165
"Boston (and vicinity), Massachusetts, United States of America",Revere Hotel Boston Common,$196
"Boston (and vicinity), Massachusetts, United States of America","InterContinental Boston, an IHG Hotel",$267
"Boston (and vicinity), Massachusetts, United States of America","The Langham, Boston",$417
"Boston (and vicinity), Massachusetts, United States of America",Hotel Commonwealth,$334
"Boston (and vicinity), Massachusetts, United States of America",Found Hotel Boston Common,$142
"Boston (and vicinity), Massachusetts, United States of America","Fairmont Copley Plaza, Boston",$359
"Boston (and vicinity), Massachusetts, United States of America","Staypineapple, A Delightful Hotel, South End",$150
"Boston (and vicinity), Massachusetts, United States of America",The Whitney Hotel,$391
"Boston (and vicinity), Massachusetts, United States of America",The Chester ,$207
"Boston (and vicinity), Massachusetts, United States of America",Renaissance Boston Seaport Hotel,$174
"Boston (and vicinity), Massachusetts, United States of America",Four Seasons Hotel Boston,$600
"Boston (and vicinity), Massachusetts, United States of America",Global Luxury Suites Downtown Boston,$189
"Boston (and vicinity), Massachusetts, United States of America",The Godfrey Hotel Boston,$144
"Boston (and vicinity), Massachusetts, United States of America",The Royal Sonesta Boston,$160
"Boston (and vicinity), Massachusetts, United States of America",Wyndham Boston Beacon Hill,$191
"Boston (and vicinity), Massachusetts, United States of America",Maverick Suites at 28 Fenway,$171
"Boston (and vicinity), Massachusetts, United States of America","Hotel Indigo Boston Garden, an IHG Hotel",$256
"Boston (and vicinity), Massachusetts, United States of America",Charlesmark Hotel,$194
"Boston (and vicinity), Massachusetts, United States of America","Four Seasons Hotel One Dalton Street, Boston",$668
"Boston (and vicinity), Massachusetts, United States of America",Maverick Suites at 245 Newbury St,$163
"Boston (and vicinity), Massachusetts, United States of America",The Verb Hotel,$189
"Boston (and vicinity), Massachusetts, United States of America",AC Hotel by Marriott Boston North,$189
"Boston (and vicinity), Massachusetts, United States of America","Hotel Indigo Boston Garden, an IHG Hotel",$256
"Boston (and vicinity), Massachusetts, United States of America",DoubleTree by Hilton Boston - Downtown,$160
"Boston (and vicinity), Massachusetts, United States of America",Courtyard by Marriott Boston Downtown,$122
"Boston (and vicinity), Massachusetts, United States of America",Sonder at Pierce Boston,$223
"Boston (and vicinity), Massachusetts, United States of America",Boston Yacht Haven Inn & Marina,$361
"Boston (and vicinity), Massachusetts, United States of America",No. 284 powered by Sonder,$186
"Boston (and vicinity), Massachusetts, United States of America",Hilton Boston Back Bay,$179
"Boston (and vicinity), Massachusetts, United States of America",The Eliot Hotel,$375
"Boston (and vicinity), Massachusetts, United States of America",The Inn at Longwood Medical,$242
"Boston (and vicinity), Massachusetts, United States of America",AC Hotel by Marriott Boston Downtown,$165
"Boston (and vicinity), Massachusetts, United States of America","Holiday Inn Express Boston South - Quincy, an IHG Hotel",$136
"Boston (and vicinity), Massachusetts, United States of America",Hyatt Centric Faneuil Hall Boston,$224
"Boston (and vicinity), Massachusetts, United States of America","Sheraton Boston, a Marriott Hotel",$169
"Boston (and vicinity), Massachusetts, United States of America",Canopy By Hilton Boston Downtown,$284
"Boston (and vicinity), Massachusetts, United States of America",The Bostonian Boston,$191
"Boston (and vicinity), Massachusetts, United States of America",Boston Marriott Copley Place,$204
"Boston (and vicinity), Massachusetts, United States of America","Mandarin Oriental, Boston",$640
"Boston (and vicinity), Massachusetts, United States of America",Charlesgate Suites,$243
"Boston (and vicinity), Massachusetts, United States of America",Element Boston Seaport District,$140
"Boston (and vicinity), Massachusetts, United States of America","The Westin Copley Place, Boston, a Marriott Hotel",$216
"Boston (and vicinity), Massachusetts, United States of America","Pennyweight Hotel Boston, Curio Collection by Hilton",$270
"Boston (and vicinity), Massachusetts, United States of America",Residence Inn by Marriott Boston Downtown / South End,$161
"Boston (and vicinity), Massachusetts, United States of America",Aloft Boston Seaport District,$175
"Boston (and vicinity), Massachusetts, United States of America",Temple Place Suites,$102
"Boston (and vicinity), Massachusetts, United States of America",Hampton Inn & Suites Boston Crosstown Center,$121
"Boston (and vicinity), Massachusetts, United States of America",The Westin Boston Seaport District,$215
"Boston (and vicinity), Massachusetts, United States of America",Maverick Suites at 402 Columbus Ave,$164
"Boston (and vicinity), Massachusetts, United States of America",The College Club of Boston,$319
"Boston (and vicinity), Massachusetts, United States of America",Sonder The Magnolia,$273
"Boston (and vicinity), Massachusetts, United States of America",Clarendon Square,$272
"Boston (and vicinity), Massachusetts, United States of America","Holiday Inn Boston Bunker Hill Area, an IHG Hotel",$158
"Boston (and vicinity), Massachusetts, United States of America","The Langham, Boston",$417
"Boston (and vicinity), Massachusetts, United States of America",Sonder The Hancock,$282
"Boston (and vicinity), Massachusetts, United States of America",Courtyard by Marriott Boston Copley Square,$224
"Boston (and vicinity), Massachusetts, United States of America",Moxy Boston Downtown,$144
"Boston (and vicinity), Massachusetts, United States of America",Raffles Boston,$804
"Boston (and vicinity), Massachusetts, United States of America",Residence Inn by Marriott Boston Downtown/Seaport,$247
"Boston (and vicinity), Massachusetts, United States of America",The Monty Boston,$743
"Boston (and vicinity), Massachusetts, United States of America",The Inn At St Botolph,$254
"Boston (and vicinity), Massachusetts, United States of America",Boston Marriott Long Wharf,$327
"Boston (and vicinity), Massachusetts, United States of America",The Newbury Boston,$656
"Boston (and vicinity), Massachusetts, United States of America",Beacon Hill Hotel,$404
