Location,Hotel,Price
"Boston (and vicinity), Massachusetts, United States of America",Hilton Boston Park Plaza,$145
"Boston (and vicinity), Massachusetts, United States of America",Hotel AKA Back Bay,$255
"Boston (and vicinity), Massachusetts, United States of America",citizenM Boston North Station,$186
"Boston (and vicinity), Massachusetts, United States of America",Hampton Inn Boston Seaport District,$136
"Boston (and vicinity), Massachusetts, United States of America",N/A,N/A
"Boston (and vicinity), Massachusetts, United States of America",Hilton Boston Park Plaza,$145
"Boston (and vicinity), Massachusetts, United States of America",Element Boston Seaport District,$140
"Boston (and vicinity), Massachusetts, United States of America",Seaport Hotel Boston,$218
"Boston (and vicinity), Massachusetts, United States of America",The Godfrey Hotel Boston,$144
"Boston (and vicinity), Massachusetts, United States of America",The Dagny Boston,$203
"Boston (and vicinity), Massachusetts, United States of America",citizenM Boston Back Bay,$150
"Boston (and vicinity), Massachusetts, United States of America","Copley Square Hotel, a FOUND Hotel",$151
"Boston (and vicinity), Massachusetts, United States of America",N/A,N/A
"Boston (and vicinity), Massachusetts, United States of America",Harborside Inn Of Boston,$179
"Boston (and vicinity), Massachusetts, United States of America","Club Quarters Hotel Faneuil Hall, Boston",$184
"Boston (and vicinity), Massachusetts, United States of America",The Colonnade Hotel Back Bay,$306
"Boston (and vicinity), Massachusetts, United States of America",N/A,N/A
"Boston (and vicinity), Massachusetts, United States of America",YOTEL Boston,$166
"Boston (and vicinity), Massachusetts, United States of America",Homewood Suites by Hilton Boston Seaport District,$166
"Boston (and vicinity), Massachusetts, United States of America",Omni Parker House ,$167
"Boston (and vicinity), Massachusetts, United States of America",Aloft Boston Seaport District,$175
"Boston (and vicinity), Massachusetts, United States of America","Holiday Inn Express Boston, an IHG Hotel",$112
"Boston (and vicinity), Massachusetts, United States of America",Hotel AKA Boston Common,$210
"Boston (and vicinity), Massachusetts, United States of America",Seaport Hotel Boston,$218
"Boston (and vicinity), Massachusetts, United States of America","Battery Wharf Hotel, Boston Waterfront",$210
"Boston (and vicinity), Massachusetts, United States of America",Hyatt Regency Boston,$160
"Boston (and vicinity), Massachusetts, United States of America",Boston Harbor Hotel,$626
"Boston (and vicinity), Massachusetts, United States of America",The Lenox Hotel Boston,$280
