Location,Hotel,Price
"Montreal (and vicinity), Quebec, Canada",Fairmont The Queen Elizabeth Gold Experience,$443
"Montreal (and vicinity), Quebec, Canada",Hotel de l'ITHQ,$151
"Montreal (and vicinity), Quebec, Canada",Maison Saint-Vincent,$136
"Montreal (and vicinity), Quebec, Canada", Maison Place Jacques-Cartier by Luxury In Transit,$127
"Montreal (and vicinity), Quebec, Canada",Hotel le Coach,$92
"Montreal (and vicinity), Quebec, Canada",Hilton Garden Inn Montréal Centre-ville,$122
"Montreal (and vicinity), Quebec, Canada",Delta Hotels by Marriott Montreal,$184
"Montreal (and vicinity), Quebec, Canada",Namaste Suites,$122
"Montreal (and vicinity), Quebec, Canada","InterContinental Montreal, an IHG Hotel",$202
"Montreal (and vicinity), Quebec, Canada",Sonder Le Victoria,$118
"Montreal (and vicinity), Quebec, Canada",Fairmont The Queen Elizabeth,$234
"Montreal (and vicinity), Quebec, Canada",Hotel Gault,$249
"Montreal (and vicinity), Quebec, Canada",Sonder Penny Lane,$104
"Montreal (and vicinity), Quebec, Canada",Hotel Milton-Parc,$110
"Montreal (and vicinity), Quebec, Canada",Hotel Les Suites Labelle,$75
"Montreal (and vicinity), Quebec, Canada",Hotel Universel Montreal,$114
"Montreal (and vicinity), Quebec, Canada",Hotel Manoir Sherbrooke,$114
"Montreal (and vicinity), Quebec, Canada",Hotel Chrome Montreal,$58
"Montreal (and vicinity), Quebec, Canada",Best Western Plus Hotel Montreal,$133
"Montreal (and vicinity), Quebec, Canada",Sonder Gare Saint Denis,$89
"Montreal (and vicinity), Quebec, Canada",Hotel Kutuma,$169
"Montreal (and vicinity), Quebec, Canada",Hôtel St-Thomas,$193
"Montreal (and vicinity), Quebec, Canada",Novotel Montreal Centre,$166
"Montreal (and vicinity), Quebec, Canada",Liv MTL - MTL,$164
"Montreal (and vicinity), Quebec, Canada",Elegant Suites De La Montagne- Dtwn Mtl,$202
"Montreal (and vicinity), Quebec, Canada",Travelodge Hotel by Wyndham Montreal Centre,$115
"Montreal (and vicinity), Quebec, Canada",Sonder Penny Lane,$104
"Montreal (and vicinity), Quebec, Canada",Sonder Le Victoria,$118
"Montreal (and vicinity), Quebec, Canada",Hôtel Ruby Foo's,$99
"Montreal (and vicinity), Quebec, Canada","Holiday Inn Hotel & Suites Montreal Centre-ville Ouest, an IHG Hotel",$203
"Montreal (and vicinity), Quebec, Canada",Pierce Boutique Apartments,$113
"Montreal (and vicinity), Quebec, Canada",Best Western Plus Montreal Downtown-Hotel Europa,$93
"Montreal (and vicinity), Quebec, Canada",Les Lofts du Centre,$77
"Montreal (and vicinity), Quebec, Canada",Le Merrill Boutique Hotel,$141
"Montreal (and vicinity), Quebec, Canada",Pensione Popolo,$86
"Montreal (and vicinity), Quebec, Canada",Hotel Epik Montreal,$163
"Montreal (and vicinity), Quebec, Canada",Hotel Chez Swann ,$173
"Montreal (and vicinity), Quebec, Canada",Liv MTL - Ch,$209
