Location,Hotel,Price
"Montreal (and vicinity), Quebec, Canada","Humaniti Hotel Montreal, Autograph Collection",$216
"Montreal (and vicinity), Quebec, Canada","Holiday Inn Montréal Centre-Ville Downtown, an IHG Hotel",$129
"Montreal (and vicinity), Quebec, Canada",Hotel Place d'Armes,$166
"Montreal (and vicinity), Quebec, Canada",Hotel Le Dauphin Montreal Centre Ville,$126
"Montreal (and vicinity), Quebec, Canada",N/A,N/A
"Montreal (and vicinity), Quebec, Canada",Hotel St-Denis,$102
"Montreal (and vicinity), Quebec, Canada",Hotel Monville,$177
"Montreal (and vicinity), Quebec, Canada","Holiday Inn Hotel & Suites Montreal Centre-ville Ouest, an IHG Hotel",$203
"Montreal (and vicinity), Quebec, Canada",Le Square Phillips Hotel And Suites,$133
"Montreal (and vicinity), Quebec, Canada",Le Nouvel Hotel,$110
"Montreal (and vicinity), Quebec, Canada",Residence Inn by Marriott Montreal Midtown,$196
"Montreal (and vicinity), Quebec, Canada",Le St Martin Hotel Particulier Montreal,$156
"Montreal (and vicinity), Quebec, Canada",N/A,N/A
"Montreal (and vicinity), Quebec, Canada",Hyatt Centric Montréal,$141
"Montreal (and vicinity), Quebec, Canada",Auberge du Vieux-Port,$188
"Montreal (and vicinity), Quebec, Canada",Sonder Apollon,$131
"Montreal (and vicinity), Quebec, Canada",N/A,N/A
"Montreal (and vicinity), Quebec, Canada",Le Petit Hotel Vieux-Montreal - Saint-Paul,$160
"Montreal (and vicinity), Quebec, Canada",HOTEL 10,$143
"Montreal (and vicinity), Quebec, Canada",Sonder Maisonneuve,$110
"Montreal (and vicinity), Quebec, Canada",Hotel Faubourg Montreal,$110
"Montreal (and vicinity), Quebec, Canada",Auberge du Vieux-Port,$188
"Montreal (and vicinity), Quebec, Canada",L'Appartement Hotel,$109
"Montreal (and vicinity), Quebec, Canada",Auberge Les Bons Matins,$104
"Montreal (and vicinity), Quebec, Canada",Hotel Nelligan,$216
"Montreal (and vicinity), Quebec, Canada",Sonder Lambert,$116
"Montreal (and vicinity), Quebec, Canada",Le Mount Stephen,$244
"Montreal (and vicinity), Quebec, Canada",SENS Hotel,$130
"Montreal (and vicinity), Quebec, Canada",Hotel Bonaparte ,$199
"Montreal (and vicinity), Quebec, Canada",LHotel Montreal,$161
"Montreal (and vicinity), Quebec, Canada","Vogue Hotel Montreal Downtown, Curio Collection by Hilton",$218
"Montreal (and vicinity), Quebec, Canada",Sonder Apollon,$131
"Montreal (and vicinity), Quebec, Canada",Hotel Omni Mont-Royal,$168
"Montreal (and vicinity), Quebec, Canada",N/A,N/A
"Montreal (and vicinity), Quebec, Canada",Hotel Birks Montreal,$261
"Montreal (and vicinity), Quebec, Canada",Hotel Faubourg Montreal,$110
"Montreal (and vicinity), Quebec, Canada",Hotel William Gray,$267
"Montreal (and vicinity), Quebec, Canada",David Hotel,$129
"Montreal (and vicinity), Quebec, Canada","Holiday Inn Montréal Centre-Ville Downtown, an IHG Hotel",$129
"Montreal (and vicinity), Quebec, Canada",Warwick Le Crystal - Montréal,$217
"Montreal (and vicinity), Quebec, Canada",Lofts du Vieux-Port,$110
"Montreal (and vicinity), Quebec, Canada",Griffintown Hotel,$132
"Montreal (and vicinity), Quebec, Canada",Hotel Terrasse Royale,$110
"Montreal (and vicinity), Quebec, Canada",Hôtel Alt Montréal,$173
"Montreal (and vicinity), Quebec, Canada",Hotel Bonaventure Montreal,$215
"Montreal (and vicinity), Quebec, Canada",Hotel Monville,$177
"Montreal (and vicinity), Quebec, Canada",Saint-Sulpice Montreal,$192
"Montreal (and vicinity), Quebec, Canada",Quality Inn Centre-Ville,$108
"Montreal (and vicinity), Quebec, Canada",Auberge de La Fontaine,$110
"Montreal (and vicinity), Quebec, Canada",Hotel Uville Montreal,$169
"Montreal (and vicinity), Quebec, Canada",WERFY Luxury Apart-Hotel,$105
"Montreal (and vicinity), Quebec, Canada",Hotel Le Germain Montreal,$264
"Montreal (and vicinity), Quebec, Canada",Sonder Maisonneuve,$110
"Montreal (and vicinity), Quebec, Canada",Hotel William Gray,$267
"Montreal (and vicinity), Quebec, Canada",Chateau Versailles,$110
"Montreal (and vicinity), Quebec, Canada",Hyatt Place Montreal - Downtown,$139
"Montreal (and vicinity), Quebec, Canada",Hotel Zero 1,$123
"Montreal (and vicinity), Quebec, Canada",Sonder Le Guerin,$68
"Montreal (and vicinity), Quebec, Canada",Maison Sainte-Thérèse,$155
"Montreal (and vicinity), Quebec, Canada",Best Western Ville-Marie Montreal Hotel & Suites,$108
"Montreal (and vicinity), Quebec, Canada",Hotel Le Cantlie Suites,$136
"Montreal (and vicinity), Quebec, Canada",Hotel Saint-Laurent Montreal,$110
"Montreal (and vicinity), Quebec, Canada",Sonder Lambert,$116
"Montreal (and vicinity), Quebec, Canada",Gingerbread Manor,$105
"Montreal (and vicinity), Quebec, Canada",Hotel Saint-Laurent Montreal,$110
"Montreal (and vicinity), Quebec, Canada",Four Seasons Hotel Montreal,$428
